DT_DISPATCH,ISO_COUNTRY_CODE,TYPE_OF_CONTRACT,CPV,LOTS_NUMBER,VALUE_EURO,CRIT_CODE,CPV_GROUP
20/01/20,ES,W,45000000.0,5.0,15909090.89,M,45
11/11/21,ES,U,33000000.0,4.0,325839.42,,33
12/05/22,ES,S,50420000.0,1.0,527000.0,M,50
04/08/23,ES,S,80410000.0,1.0,721863.6,,80
15/01/19,ES,U,33141121.0,198.0,11284939.2,M,33
15/03/22,ES,W,45112000.0,3.0,5467860.0,M,45
17/11/22,ES,U,39800000.0,6.0,271074.37,M,39
10/03/23,ES,U,33600000.0,6.0,3932546.4,M,33
05/07/23,ES,S,85100000.0,12.0,,,85
22/10/18,ES,U,33141770.0,50.0,2070185.2,,33
09/10/23,ES,S,92370000.0,1.0,,,92
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
20/11/18,ES,S,72267100.0,25.0,280853.57,L,72
12/12/19,ES,U,44510000.0,50.0,546694.5,M,44
25/10/18,ES,S,60100000.0,1.0,1456000.0,,60
24/06/20,ES,S,71356200.0,4.0,766032.62,M,71
27/06/18,ES,U,22100000.0,15.0,668000.0,M,22
02/06/20,ES,S,80530000.0,34.0,,,80
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
03/04/23,ES,U,33140000.0,141.0,21357767.03,M,33
25/08/21,ES,U,33141114.0,41.0,9303124.6,M,33
08/10/20,ES,S,80500000.0,9.0,526224.0,,80
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
15/01/19,ES,U,33141121.0,198.0,11284939.2,M,33
17/02/21,ES,U,44113600.0,6.0,173553.72,M,44
27/12/23,ES,U,33111000.0,1.0,1006500.0,,33
01/03/22,ES,U,33184100.0,6.0,391820.9,M,33
20/09/21,ES,S,72212900.0,50.0,7520682.0,,72
10/10/22,ES,S,50230000.0,8.0,153511939.25,M,50
23/11/21,ES,S,50222000.0,1.0,11051118.3,M,50
05/03/18,ES,S,72212211.0,0.0,1647461.11,M,72
23/03/21,ES,S,77311000.0,6.0,659427851.61,M,77
21/12/21,ES,S,90911200.0,16.0,101734503.48,,90
20/12/21,ES,S,80530000.0,34.0,4569273.0,,80
19/06/23,ES,U,33100000.0,1.0,330578.51,,33
25/07/22,ES,U,44316000.0,10.0,1005619.84,L,44
20/04/22,ES,U,38000000.0,12.0,489022.12,M,38
14/01/20,ES,S,85111000.0,1.0,,,85
29/08/18,ES,S,60112000.0,2.0,462346.66,M,60
10/08/20,ES,S,60130000.0,121.0,29910145.45,,60
27/09/18,ES,S,90919300.0,5.0,667631.96,,90
18/06/21,ES,S,80200000.0,43.0,51467850.0,,80
26/08/21,ES,S,50000000.0,10.0,2229810.0,,50
08/04/20,ES,U,9300000.0,1.0,102109152.75,,93
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
29/09/20,ES,S,79421000.0,1.0,59500.0,,79
22/08/22,ES,S,50700000.0,9.0,1576009.96,M,50
09/05/20,ES,U,15000000.0,22.0,3337932.42,M,15
12/12/19,ES,U,44510000.0,50.0,546694.5,M,44
20/11/18,ES,U,44163160.0,22.0,627701.43,,44
02/04/19,ES,S,71242000.0,4.0,240863.67,,71
25/06/20,ES,S,80530000.0,43.0,,,80
23/07/18,ES,S,92000000.0,1.0,,,92
26/12/21,ES,U,9310000.0,7.0,5461973.62,M,93
05/04/23,ES,S,90911000.0,3.0,6769573.6,M,90
29/07/23,ES,S,90911000.0,2.0,8358676.26,M,90
16/03/21,ES,U,33600000.0,7.0,1845152.4,M,33
02/12/22,ES,S,92620000.0,19.0,,,92
07/03/18,ES,U,34320000.0,0.0,214876.0,L,34
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
05/04/23,ES,U,33140000.0,84.0,5726040.49,M,33
13/08/21,ES,U,34130000.0,1.0,1440000.0,,34
17/06/19,ES,U,39000000.0,12.0,360502.0,M,39
14/06/22,ES,S,55000000.0,14.0,17465840.39,,55
09/10/18,ES,U,32424000.0,1.0,400000.0,M,32
26/07/19,ES,S,60130000.0,63.0,6361958.78,M,60
25/10/23,ES,S,79710000.0,2.0,,,79
18/07/19,ES,U,15000000.0,24.0,2721361.98,M,15
17/09/19,ES,S,85311000.0,18.0,10374352.0,,85
23/01/23,ES,S,85100000.0,5.0,,,85
07/01/21,ES,U,30200000.0,8.0,9531000.0,M,30
09/11/21,ES,S,80000000.0,46.0,3079800.0,,80
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
30/09/22,ES,S,77311000.0,3.0,3967336.53,M,77
11/11/22,ES,U,33600000.0,6.0,1341557.52,M,33
15/09/22,ES,S,79822500.0,2.0,404100.49,M,79
31/03/23,ES,U,38000000.0,21.0,1750000.0,,38
